subjCode,ageBin,Date,Child's Name,Gender,Age,Birthdate,Experimenter,Exclude,Notes,surveyID,discrepant_ID
p001,5to6,3/11/17,removed,m,6.93,removed,MZ,N,"responsiveness issue on one NEXT trial: clicked a bird-to-bird match, but when the touch did not register, chose an elephant. Issue only affected this specific trial; bilingual (English, German), lives in Germany",p001,TRUE
p002,3to4,3/11/17,removed,f,3.29,removed,CJ,N,"child was very shy but warmed up once she sat on mother's lap; mother subsequently guided child through trials; mother's instructions were good (neutral), except two instances in which she named animals during testing (ostrich, rooster)",p002,TRUE
p003,5to6,3/11/17,removed,m,5.95,removed,MZ,N,great,p003,TRUE
p004,3to4,3/11/17,removed,f,4.5,removed,CJ,N,"check data - experiment froze and NEXT trials had to be restarted; otherwise check data - experiment froze and NEXT trials had to be restarted; otherwise, Clint writes: ""On a few trials he would make a selection but the tablet was slow to respond or nonresponsive... so, he chose the other picture""",p004,TRUE
p005,3to4,3/11/17,removed,m,3.65,removed,MZ,N,child was shy and spoke very quietly during naming trials; I had to help press the animal on some NEXT responses because the tablet didn't respond to his touches (always pressed the animal he touched immediately after his response),p005,TRUE
p007,3to4,3/11/17,removed,f,3.27,removed,MZ,N,good on NEXT; shy during naming trials - always advanced if she shook her head or hid her face/ did not respond after 5 seconds or so; sister to p009,p007,TRUE
p009,5to6,3/11/17,removed,m,6.23,removed,MZ,N,brother to p007,p009,TRUE
p006,3to4,3/11/17,removed,f,4.51,removed,MZ,N,"trilingual (Spanish, Italian); no vocab data because tablet browser did not support scrolling; got a little bored with the NEXT task and clicked through one trial too quickly",p006,TRUE
p010,3to4,3/18/17,removed,f,4.15,removed,MZ,N,good; had to encourage her to press the animal sometimes (when she merely pointed),p010,TRUE
p011,5to6,3/18/17,removed,m,5.72,removed,MZ,N,"only month not day of birth indicated; great, had to help press the tablet occasionally",p011,TRUE
p012,5to6,3/18/17,removed,m,5.63,removed,MZ,N,"only month not day of birth indicated; great, had to help press the tablet",p012,TRUE
p013,3to4,3/18/17,removed,f,3.13,removed,MZ,N,"pressed too long on 3 trials, triggering the image on the next trial. This occurred on fruit practice trial & on 2 NEXT trials; same family as p016/p017",p013,TRUE
p014,5to6,3/18/17,removed,m,5.36,removed,MZ,N,great,p014,TRUE
p015,5to6,3/18/17,removed,m,6.86,removed,MZ,N,good; had to help press the tablet,p015,TRUE
p016,3to4,3/18/17,removed,m,4.91,removed,MZ,N,good; same family as p013/ p017,p016,TRUE
p017,5to6,3/18/17,removed,m,6.92,removed,MZ,N,good; had to help press tablet; same family as p016/ p013,p017,TRUE
